['May 24, 2020', 'active cases', '34379']['May 24, 2020', 'new cases', '1078']['May 24, 2020', 'new deaths', '103']['May 24, 2020', 'new recoveries', '1078']
['May 25, 2020', 'active cases', '34669']['May 25, 2020', 'new cases', '1012']['May 25, 2020', 'new deaths', '69']['May 25, 2020', 'new recoveries', '1012']
['May 26, 2020', 'active cases', '34783']['May 26, 2020', 'new cases', '936']['May 26, 2020', 'new deaths', '121']['May 26, 2020', 'new recoveries', '936']
['May 27, 2020', 'active cases', '34736']['May 27, 2020', 'new cases', '872']['May 27, 2020', 'new deaths', '94']['May 27, 2020', 'new recoveries', '872']
['May 28, 2020', 'active cases', '34927']['May 28, 2020', 'new cases', '993']['May 28, 2020', 'new deaths', '126']['May 28, 2020', 'new recoveries', '993']
['May 29, 2020', 'active cases', '35043']['May 29, 2020', 'new cases', '906']['May 29, 2020', 'new deaths', '112']['May 29, 2020', 'new recoveries', '906']
['May 30, 2020', 'active cases', '35128']['May 30, 2020', 'new cases', '772']['May 30, 2020', 'new deaths', '102']['May 30, 2020', 'new recoveries', '772']
['May 31, 2020', 'active cases', '35015']['May 31, 2020', 'new cases', '757']['May 31, 2020', 'new deaths', '94']['May 31, 2020', 'new recoveries', '757']
['Jun 01, 2020', 'active cases', '34704']['Jun 01, 2020', 'new cases', '758']['Jun 01, 2020', 'new deaths', '222']['Jun 01, 2020', 'new recoveries', '758']
['Jun 02, 2020', 'active cases', '34747']['Jun 02, 2020', 'new cases', '705']['Jun 02, 2020', 'new deaths', '31']['Jun 02, 2020', 'new recoveries', '705']
['Jun 03, 2020', 'active cases', '34662']['Jun 03, 2020', 'new cases', '675']['Jun 03, 2020', 'new deaths', '69']['Jun 03, 2020', 'new recoveries', '675']
['Jun 04, 2020', 'active cases', '34509']['Jun 04, 2020', 'new cases', '641']['Jun 04, 2020', 'new deaths', '103']['Jun 04, 2020', 'new recoveries', '641']
['Jun 05, 2020', 'active cases', '34150']['Jun 05, 2020', 'new cases', '609']['Jun 05, 2020', 'new deaths', '139']['Jun 05, 2020', 'new recoveries', '609']
['Jun 06, 2020', 'active cases', '33760']['Jun 06, 2020', 'new cases', '722']['Jun 06, 2020', 'new deaths', '66']['Jun 06, 2020', 'new recoveries', '722']
['Jun 07, 2020', 'active cases', '33716']['Jun 07, 2020', 'new cases', '642']['Jun 07, 2020', 'new deaths', '67']['Jun 07, 2020', 'new recoveries', '642']
['Jun 08, 2020', 'active cases', '33468']['Jun 08, 2020', 'new cases', '545']['Jun 08, 2020', 'new deaths', '26']['Jun 08, 2020', 'new recoveries', '545']
['Jun 09, 2020', 'active cases', '33270']['Jun 09, 2020', 'new cases', '409']['Jun 09, 2020', 'new deaths', '35']['Jun 09, 2020', 'new recoveries', '409']
['Jun 10, 2020', 'active cases', '32615']['Jun 10, 2020', 'new cases', '472']['Jun 10, 2020', 'new deaths', '60']['Jun 10, 2020', 'new recoveries', '472']
['Jun 11, 2020', 'active cases', '31939']['Jun 11, 2020', 'new cases', '405']['Jun 11, 2020', 'new deaths', '62']['Jun 11, 2020', 'new recoveries', '405']
['Jun 12, 2020', 'active cases', '31452']['Jun 12, 2020', 'new cases', '413']['Jun 12, 2020', 'new deaths', '35']['Jun 12, 2020', 'new recoveries', '413']
['Jun 13, 2020', 'active cases', '31035']['Jun 13, 2020', 'new cases', '467']['Jun 13, 2020', 'new deaths', '53']['Jun 13, 2020', 'new recoveries', '467']
['Jun 14, 2020', 'active cases', '30436']['Jun 14, 2020', 'new cases', '377']['Jun 14, 2020', 'new deaths', '58']['Jun 14, 2020', 'new recoveries', '377']
['Jun 15, 2020', 'active cases', '29987']['Jun 15, 2020', 'new cases', '360']['Jun 15, 2020', 'new deaths', '39']['Jun 15, 2020', 'new recoveries', '360']
['Jun 16, 2020', 'active cases', '29877']['Jun 16, 2020', 'new cases', '320']['Jun 16, 2020', 'new deaths', '29']['Jun 16, 2020', 'new recoveries', '320']
['Jun 17, 2020', 'active cases', '29651']['Jun 17, 2020', 'new cases', '386']['Jun 17, 2020', 'new deaths', '38']['Jun 17, 2020', 'new recoveries', '386']
['Jun 18, 2020', 'active cases', '29498']['Jun 18, 2020', 'new cases', '367']['Jun 18, 2020', 'new deaths', '41']['Jun 18, 2020', 'new recoveries', '367']
['Jun 19, 2020', 'active cases', '29354']['Jun 19, 2020', 'new cases', '409']['Jun 19, 2020', 'new deaths', '46']['Jun 19, 2020', 'new recoveries', '409']
['Jun 20, 2020', 'active cases', '29213']['Jun 20, 2020', 'new cases', '390']['Jun 20, 2020', 'new deaths', '46']['Jun 20, 2020', 'new recoveries', '390']
['Jun 21, 2020', 'active cases', '29070']['Jun 21, 2020', 'new cases', '318']['Jun 21, 2020', 'new deaths', '63']['Jun 21, 2020', 'new recoveries', '318']
['Jun 22, 2020', 'active cases', '28905']['Jun 22, 2020', 'new cases', '300']['Jun 22, 2020', 'new deaths', '17']['Jun 22, 2020', 'new recoveries', '300']
['Jun 23, 2020', 'active cases', '28855']['Jun 23, 2020', 'new cases', '326']['Jun 23, 2020', 'new deaths', '6']['Jun 23, 2020', 'new recoveries', '326']
['Jun 24, 2020', 'active cases', '28729']['Jun 24, 2020', 'new cases', '279']['Jun 24, 2020', 'new deaths', '18']['Jun 24, 2020', 'new recoveries', '279']
['Jun 25, 2020', 'active cases', '28746']['Jun 25, 2020', 'new cases', '380']['Jun 25, 2020', 'new deaths', '29']['Jun 25, 2020', 'new recoveries', '380']
['Jun 26, 2020', 'active cases', '28597']['Jun 26, 2020', 'new cases', '172']['Jun 26, 2020', 'new deaths', '20']['Jun 26, 2020', 'new recoveries', '172']
['Jun 27, 2020', 'active cases', '28584']['Jun 27, 2020', 'new cases', '238']['Jun 27, 2020', 'new deaths', '4']['Jun 27, 2020', 'new recoveries', '238']
['Jun 28, 2020', 'active cases', '28577']['Jun 28, 2020', 'new cases', '218']['Jun 28, 2020', 'new deaths', '7']['Jun 28, 2020', 'new recoveries', '218']
['Jun 29, 2020', 'active cases', '28252']['Jun 29, 2020', 'new cases', '668']['Jun 29, 2020', 'new deaths', '6']['Jun 29, 2020', 'new recoveries', '668']
['Jun 30, 2020', 'active cases', '28078']['Jun 30, 2020', 'new cases', '286']['Jun 30, 2020', 'new deaths', '44']['Jun 30, 2020', 'new recoveries', '286']
['Jul 01, 2020', 'active cases', '27971']['Jul 01, 2020', 'new cases', '67']['Jul 01, 2020', 'new deaths', '24']['Jul 01, 2020', 'new recoveries', '67']
['Jul 02, 2020', 'active cases', '27866']['Jul 02, 2020', 'new cases', '501']['Jul 02, 2020', 'new deaths', '3']['Jul 02, 2020', 'new recoveries', '501']
['Jul 03, 2020', 'active cases', '27792']['Jul 03, 2020', 'new cases', '319']['Jul 03, 2020', 'new deaths', '47']['Jul 03, 2020', 'new recoveries', '319']
['Jul 04, 2020', 'active cases', '27700']['Jul 04, 2020', 'new cases', '226']['Jul 04, 2020', 'new deaths', '21']['Jul 04, 2020', 'new recoveries', '226']
['Jul 05, 2020', 'active cases', '27659']['Jul 05, 2020', 'new cases', '219']['Jul 05, 2020', 'new deaths', '11']['Jul 05, 2020', 'new recoveries', '219']
['Jul 06, 2020', 'active cases', '27717']['Jul 06, 2020', 'new cases', '399']['Jul 06, 2020', 'new deaths', '10']['Jul 06, 2020', 'new recoveries', '399']
