['Jun 15, 2020', 'active cases', '245580']['Jun 15, 2020', 'new cases', '8246']['Jun 15, 2020', 'new deaths', '143']['Jun 15, 2020', 'new recoveries', '8246']
['Jun 16, 2020', 'active cases', '243868']['Jun 16, 2020', 'new cases', '8248']['Jun 16, 2020', 'new deaths', '193']['Jun 16, 2020', 'new recoveries', '8248']
['Jun 17, 2020', 'active cases', '241481']['Jun 17, 2020', 'new cases', '7843']['Jun 17, 2020', 'new deaths', '194']['Jun 17, 2020', 'new recoveries', '7843']
['Jun 18, 2020', 'active cases', '239468']['Jun 18, 2020', 'new cases', '7790']['Jun 18, 2020', 'new deaths', '182']['Jun 18, 2020', 'new recoveries', '7790']
['Jun 19, 2020', 'active cases', '236816']['Jun 19, 2020', 'new cases', '7972']['Jun 19, 2020', 'new deaths', '181']['Jun 19, 2020', 'new recoveries', '7972']
['Jun 20, 2020', 'active cases', '234358']['Jun 20, 2020', 'new cases', '7889']['Jun 20, 2020', 'new deaths', '161']['Jun 20, 2020', 'new recoveries', '7889']
['Jun 21, 2020', 'active cases', '236858']['Jun 21, 2020', 'new cases', '7728']['Jun 21, 2020', 'new deaths', '109']['Jun 21, 2020', 'new recoveries', '7728']
['Jun 22, 2020', 'active cases', '239658']['Jun 22, 2020', 'new cases', '7600']['Jun 22, 2020', 'new deaths', '95']['Jun 22, 2020', 'new recoveries', '7600']
['Jun 23, 2020', 'active cases', '234917']['Jun 23, 2020', 'new cases', '7425']['Jun 23, 2020', 'new deaths', '153']['Jun 23, 2020', 'new recoveries', '7425']
['Jun 24, 2020', 'active cases', '229546']['Jun 24, 2020', 'new cases', '7176']['Jun 24, 2020', 'new deaths', '154']['Jun 24, 2020', 'new recoveries', '7176']
['Jun 25, 2020', 'active cases', '230225']['Jun 25, 2020', 'new cases', '7113']['Jun 25, 2020', 'new deaths', '92']['Jun 25, 2020', 'new recoveries', '7113']
['Jun 26, 2020', 'active cases', '227861']['Jun 26, 2020', 'new cases', '6800']['Jun 26, 2020', 'new deaths', '176']['Jun 26, 2020', 'new recoveries', '6800']
['Jun 27, 2020', 'active cases', '225325']['Jun 27, 2020', 'new cases', '6852']['Jun 27, 2020', 'new deaths', '188']['Jun 27, 2020', 'new recoveries', '6852']
['Jun 28, 2020', 'active cases', '226277']['Jun 28, 2020', 'new cases', '6791']['Jun 28, 2020', 'new deaths', '104']['Jun 28, 2020', 'new recoveries', '6791']
