['Apr 19, 2020', 'active cases', '46061']['Apr 19, 2020', 'new cases', '714']['Apr 19, 2020', 'new deaths', '395']['Apr 19, 2020', 'new recoveries', '714']
['Apr 20, 2020', 'active cases', '46548']['Apr 20, 2020', 'new cases', '1864']['Apr 20, 2020', 'new deaths', '546']['Apr 20, 2020', 'new recoveries', '1864']
['Apr 21, 2020', 'active cases', '46669']['Apr 21, 2020', 'new cases', '2423']['Apr 21, 2020', 'new deaths', '530']['Apr 21, 2020', 'new recoveries', '2423']
['Apr 22, 2020', 'active cases', '46311']['Apr 22, 2020', 'new cases', '1661']['Apr 22, 2020', 'new deaths', '543']['Apr 22, 2020', 'new recoveries', '1661']
['Apr 23, 2020', 'active cases', '45867']['Apr 23, 2020', 'new cases', '1502']['Apr 23, 2020', 'new deaths', '515']['Apr 23, 2020', 'new recoveries', '1502']
['Apr 24, 2020', 'active cases', '45684']['Apr 24, 2020', 'new cases', '1611']['Apr 24, 2020', 'new deaths', '389']['Apr 24, 2020', 'new recoveries', '1611']
['Apr 25, 2020', 'active cases', '45611']['Apr 25, 2020', 'new cases', '1397']['Apr 25, 2020', 'new deaths', '369']['Apr 25, 2020', 'new recoveries', '1397']
['Apr 26, 2020', 'active cases', '45479']['Apr 26, 2020', 'new cases', '419']['Apr 26, 2020', 'new deaths', '242']['Apr 26, 2020', 'new recoveries', '419']
['Apr 27, 2020', 'active cases', '47853']['Apr 27, 2020', 'new cases', '3420']['Apr 27, 2020', 'new deaths', '436']['Apr 27, 2020', 'new recoveries', '3420']
['Apr 28, 2020', 'active cases', '47494']['Apr 28, 2020', 'new cases', '1381']['Apr 28, 2020', 'new deaths', '367']['Apr 28, 2020', 'new recoveries', '1381']
['Apr 29, 2020', 'active cases', '47401']['Apr 29, 2020', 'new cases', '1675']['Apr 29, 2020', 'new deaths', '426']['Apr 29, 2020', 'new recoveries', '1675']
['Apr 30, 2020', 'active cases', '46925']['Apr 30, 2020', 'new cases', '1061']['Apr 30, 2020', 'new deaths', '289']['Apr 30, 2020', 'new recoveries', '1061']
['May 01, 2020', 'active cases', '46534']['May 01, 2020', 'new cases', '563']['May 01, 2020', 'new deaths', '218']['May 01, 2020', 'new recoveries', '563']
['May 02, 2020', 'active cases', '46758']['May 02, 2020', 'new cases', '740']['May 02, 2020', 'new deaths', '166']['May 02, 2020', 'new recoveries', '740']
['May 03, 2020', 'active cases', '46688']['May 03, 2020', 'new cases', '287']['May 03, 2020', 'new deaths', '135']['May 03, 2020', 'new recoveries', '287']
['May 04, 2020', 'active cases', '46332']['May 04, 2020', 'new cases', '537']['May 04, 2020', 'new deaths', '306']['May 04, 2020', 'new recoveries', '537']
['May 05, 2020', 'active cases', '45666']['May 05, 2020', 'new cases', '1029']['May 05, 2020', 'new deaths', '330']['May 05, 2020', 'new recoveries', '1029']
['May 06, 2020', 'active cases', '48050']['May 06, 2020', 'new cases', '3898']['May 06, 2020', 'new deaths', '278']['May 06, 2020', 'new recoveries', '3898']
['May 07, 2020', 'active cases', '47403']['May 07, 2020', 'new cases', '586']['May 07, 2020', 'new deaths', '178']['May 07, 2020', 'new recoveries', '586']
['May 08, 2020', 'active cases', '46943']['May 08, 2020', 'new cases', '598']['May 08, 2020', 'new deaths', '243']['May 08, 2020', 'new recoveries', '598']
['May 09, 2020', 'active cases', '43060']['May 09, 2020', 'new cases', '403']['May 09, 2020', 'new deaths', '80']['May 09, 2020', 'new recoveries', '403']
['May 10, 2020', 'active cases', '38913']['May 10, 2020', 'new cases', '195']['May 10, 2020', 'new deaths', '70']['May 10, 2020', 'new recoveries', '195']
['May 11, 2020', 'active cases', '36224']['May 11, 2020', 'new cases', '425']['May 11, 2020', 'new deaths', '263']['May 11, 2020', 'new recoveries', '425']
['May 12, 2020', 'active cases', '35270']['May 12, 2020', 'new cases', '659']['May 12, 2020', 'new deaths', '348']['May 12, 2020', 'new recoveries', '659']
['May 13, 2020', 'active cases', '33070']['May 13, 2020', 'new cases', '473']['May 13, 2020', 'new deaths', '83']['May 13, 2020', 'new recoveries', '473']
['May 14, 2020', 'active cases', '28153']['May 14, 2020', 'new cases', '580']['May 14, 2020', 'new deaths', '351']['May 14, 2020', 'new recoveries', '580']
['May 15, 2020', 'active cases', '26044']['May 15, 2020', 'new cases', '524']['May 15, 2020', 'new deaths', '104']['May 15, 2020', 'new recoveries', '524']
['May 16, 2020', 'active cases', '23827']['May 16, 2020', 'new cases', '347']['May 16, 2020', 'new deaths', '96']['May 16, 2020', 'new recoveries', '347']
['May 17, 2020', 'active cases', '23716']['May 17, 2020', 'new cases', '112']['May 17, 2020', 'new deaths', '146']['May 17, 2020', 'new recoveries', '112']
['May 18, 2020', 'active cases', '21683']['May 18, 2020', 'new cases', '459']['May 18, 2020', 'new deaths', '131']['May 18, 2020', 'new recoveries', '459']
['May 19, 2020', 'active cases', '21051']['May 19, 2020', 'new cases', '489']['May 19, 2020', 'new deaths', '119']['May 19, 2020', 'new recoveries', '489']
['May 20, 2020', 'active cases', '19389']['May 20, 2020', 'new cases', '389']['May 20, 2020', 'new deaths', '110']['May 20, 2020', 'new recoveries', '389']
['May 21, 2020', 'active cases', '17018']['May 21, 2020', 'new cases', '296']['May 21, 2020', 'new deaths', '83']['May 21, 2020', 'new recoveries', '296']
['May 22, 2020', 'active cases', '15557']['May 22, 2020', 'new cases', '366']['May 22, 2020', 'new deaths', '74']['May 22, 2020', 'new recoveries', '366']
['May 23, 2020', 'active cases', '14137']['May 23, 2020', 'new cases', '233']['May 23, 2020', 'new deaths', '43']['May 23, 2020', 'new recoveries', '233']
['May 24, 2020', 'active cases', '12471']['May 24, 2020', 'new cases', '107']['May 24, 2020', 'new deaths', '35']['May 24, 2020', 'new recoveries', '107']
['May 25, 2020', 'active cases', '11473']['May 25, 2020', 'new cases', '334']['May 25, 2020', 'new deaths', '65']['May 25, 2020', 'new recoveries', '334']
['May 26, 2020', 'active cases', '7832']['May 26, 2020', 'new cases', '257']['May 26, 2020', 'new deaths', '98']['May 26, 2020', 'new recoveries', '257']
['May 27, 2020', 'active cases', '7424']['May 27, 2020', 'new cases', '178']['May 27, 2020', 'new deaths', '66']['May 27, 2020', 'new recoveries', '178']
['May 28, 2020', 'active cases', '9924']['May 28, 2020', 'new cases', '3098']['May 28, 2020', 'new deaths', '66']['May 28, 2020', 'new recoveries', '3098']
['May 29, 2020', 'active cases', '10077']['May 29, 2020', 'new cases', '556']['May 29, 2020', 'new deaths', '52']['May 29, 2020', 'new recoveries', '556']
['May 30, 2020', 'active cases', '11585']['May 30, 2020', 'new cases', '1703']['May 30, 2020', 'new deaths', '57']['May 30, 2020', 'new recoveries', '1703']
['May 31, 2020', 'active cases', '11399']['May 31, 2020', 'new cases', '239']['May 31, 2020', 'new deaths', '31']['May 31, 2020', 'new recoveries', '239']
['Jun 01, 2020', 'active cases', '11055']['Jun 01, 2020', 'new cases', '315']['Jun 01, 2020', 'new deaths', '31']['Jun 01, 2020', 'new recoveries', '315']
['Jun 02, 2020', 'active cases', '10865']['Jun 02, 2020', 'new cases', '283']['Jun 02, 2020', 'new deaths', '107']['Jun 02, 2020', 'new recoveries', '283']
['Jun 03, 2020', 'active cases', '10615']['Jun 03, 2020', 'new cases', '330']['Jun 03, 2020', 'new deaths', '81']['Jun 03, 2020', 'new recoveries', '330']
['Jun 04, 2020', 'active cases', '10811']['Jun 04, 2020', 'new cases', '720']['Jun 04, 2020', 'new deaths', '44']['Jun 04, 2020', 'new recoveries', '720']
['Jun 05, 2020', 'active cases', '11037']['Jun 05, 2020', 'new cases', '573']['Jun 05, 2020', 'new deaths', '46']['Jun 05, 2020', 'new recoveries', '573']
['Jun 06, 2020', 'active cases', '11468']['Jun 06, 2020', 'new cases', '543']['Jun 06, 2020', 'new deaths', '31']['Jun 06, 2020', 'new recoveries', '543']
['Jun 07, 2020', 'active cases', '11331']['Jun 07, 2020', 'new cases', '322']['Jun 07, 2020', 'new deaths', '13']['Jun 07, 2020', 'new recoveries', '322']
['Jun 08, 2020', 'active cases', '11040']['Jun 08, 2020', 'new cases', '198']['Jun 08, 2020', 'new deaths', '54']['Jun 08, 2020', 'new recoveries', '198']
['Jun 09, 2020', 'active cases', '11029']['Jun 09, 2020', 'new cases', '378']['Jun 09, 2020', 'new deaths', '87']['Jun 09, 2020', 'new recoveries', '378']
['Jun 10, 2020', 'active cases', '11244']['Jun 10, 2020', 'new cases', '511']['Jun 10, 2020', 'new deaths', '23']['Jun 10, 2020', 'new recoveries', '511']
