['Jun 27, 2020', 'active cases', '8136']['Jun 27, 2020', 'new cases', '290']['Jun 27, 2020', 'new deaths', '0']['Jun 27, 2020', 'new recoveries', '290']
['Jun 28, 2020', 'active cases', '8108']['Jun 28, 2020', 'new cases', '175']['Jun 28, 2020', 'new deaths', '3']['Jun 28, 2020', 'new recoveries', '175']
['Jun 29, 2020', 'active cases', '8224']['Jun 29, 2020', 'new cases', '528']['Jun 29, 2020', 'new deaths', '12']['Jun 29, 2020', 'new recoveries', '528']
['Jun 30, 2020', 'active cases', '7653']['Jun 30, 2020', 'new cases', '440']['Jun 30, 2020', 'new deaths', '11']['Jun 30, 2020', 'new recoveries', '440']
['Jul 01, 2020', 'active cases', '7436']['Jul 01, 2020', 'new cases', '492']['Jul 01, 2020', 'new deaths', '9']['Jul 01, 2020', 'new recoveries', '492']
['Jul 02, 2020', 'active cases', '7326']['Jul 02, 2020', 'new cases', '393']['Jul 02, 2020', 'new deaths', '3']['Jul 02, 2020', 'new recoveries', '393']
['Jul 03, 2020', 'active cases', '6900']['Jul 03, 2020', 'new cases', '283']['Jul 03, 2020', 'new deaths', '9']['Jul 03, 2020', 'new recoveries', '283']
['Jul 04, 2020', 'active cases', '7010']['Jul 04, 2020', 'new cases', '418']['Jul 04, 2020', 'new deaths', '8']['Jul 04, 2020', 'new recoveries', '418']
['Jul 05, 2020', 'active cases', '6745']['Jul 05, 2020', 'new cases', '140']['Jul 05, 2020', 'new deaths', '5']['Jul 05, 2020', 'new recoveries', '140']
['Jul 06, 2020', 'active cases', '6738']['Jul 06, 2020', 'new cases', '499']['Jul 06, 2020', 'new deaths', '6']['Jul 06, 2020', 'new recoveries', '499']
['Jul 07, 2020', 'active cases', '6525']['Jul 07, 2020', 'new cases', '298']['Jul 07, 2020', 'new deaths', '11']['Jul 07, 2020', 'new recoveries', '298']
['Jul 08, 2020', 'active cases', '6923']['Jul 08, 2020', 'new cases', '410']['Jul 08, 2020', 'new deaths', '12']['Jul 08, 2020', 'new recoveries', '410']
['Jul 09, 2020', 'active cases', '6446']['Jul 09, 2020', 'new cases', '433']['Jul 09, 2020', 'new deaths', '10']['Jul 09, 2020', 'new recoveries', '433']
['Jul 10, 2020', 'active cases', '6431']['Jul 10, 2020', 'new cases', '390']['Jul 10, 2020', 'new deaths', '5']['Jul 10, 2020', 'new recoveries', '390']
['Jul 11, 2020', 'active cases', '6151']['Jul 11, 2020', 'new cases', '224']['Jul 11, 2020', 'new deaths', '4']['Jul 11, 2020', 'new recoveries', '224']
['Jul 12, 2020', 'active cases', '6189']['Jul 12, 2020', 'new cases', '138']['Jul 12, 2020', 'new deaths', '0']['Jul 12, 2020', 'new recoveries', '138']
['Jul 13, 2020', 'active cases', '6170']['Jul 13, 2020', 'new cases', '486']['Jul 13, 2020', 'new deaths', '5']['Jul 13, 2020', 'new recoveries', '486']
['Jul 14, 2020', 'active cases', '6095']['Jul 14, 2020', 'new cases', '330']['Jul 14, 2020', 'new deaths', '5']['Jul 14, 2020', 'new recoveries', '330']
['Jul 15, 2020', 'active cases', '6077']['Jul 15, 2020', 'new cases', '486']['Jul 15, 2020', 'new deaths', '4']['Jul 15, 2020', 'new recoveries', '486']
['Jul 16, 2020', 'active cases', '6252']['Jul 16, 2020', 'new cases', '584']['Jul 16, 2020', 'new deaths', '9']['Jul 16, 2020', 'new recoveries', '584']
['Jul 17, 2020', 'active cases', '5958']['Jul 17, 2020', 'new cases', '509']['Jul 17, 2020', 'new deaths', '3']['Jul 17, 2020', 'new recoveries', '509']
['Jul 18, 2020', 'active cases', '5883']['Jul 18, 2020', 'new cases', '227']['Jul 18, 2020', 'new deaths', '2']['Jul 18, 2020', 'new recoveries', '227']
['Jul 19, 2020', 'active cases', '5855']['Jul 19, 2020', 'new cases', '273']['Jul 19, 2020', 'new deaths', '1']['Jul 19, 2020', 'new recoveries', '273']
['Jul 20, 2020', 'active cases', '6487']['Jul 20, 2020', 'new cases', '642']['Jul 20, 2020', 'new deaths', '10']['Jul 20, 2020', 'new recoveries', '642']
['Jul 21, 2020', 'active cases', '6583']['Jul 21, 2020', 'new cases', '403']['Jul 21, 2020', 'new deaths', '7']['Jul 21, 2020', 'new recoveries', '403']
['Jul 22, 2020', 'active cases', '6661']['Jul 22, 2020', 'new cases', '580']['Jul 22, 2020', 'new deaths', '2']['Jul 22, 2020', 'new recoveries', '580']
['Jul 23, 2020', 'active cases', '6928']['Jul 23, 2020', 'new cases', '672']['Jul 23, 2020', 'new deaths', '5']['Jul 23, 2020', 'new recoveries', '672']
['Jul 24, 2020', 'active cases', '6332']['Jul 24, 2020', 'new cases', '818']['Jul 24, 2020', 'new deaths', '14']['Jul 24, 2020', 'new recoveries', '818']
['Jul 25, 2020', 'active cases', '6503']['Jul 25, 2020', 'new cases', '372']['Jul 25, 2020', 'new deaths', '1']['Jul 25, 2020', 'new recoveries', '372']
['Jul 26, 2020', 'active cases', '6911']['Jul 26, 2020', 'new cases', '409']['Jul 26, 2020', 'new deaths', '1']['Jul 26, 2020', 'new recoveries', '409']
['Jul 27, 2020', 'active cases', '6747']['Jul 27, 2020', 'new cases', '638']['Jul 27, 2020', 'new deaths', '2']['Jul 27, 2020', 'new recoveries', '638']
['Jul 28, 2020', 'active cases', '6717']['Jul 28, 2020', 'new cases', '572']['Jul 28, 2020', 'new deaths', '2']['Jul 28, 2020', 'new recoveries', '572']
['Jul 29, 2020', 'active cases', '7572']['Jul 29, 2020', 'new cases', '860']['Jul 29, 2020', 'new deaths', '5']['Jul 29, 2020', 'new recoveries', '860']
