['Jun 03, 2020', 'active cases', '9061']['Jun 03, 2020', 'new cases', '4017']['Jun 03, 2020', 'new deaths', '680']['Jun 03, 2020', 'new recoveries', '4017']
['Jun 04, 2020', 'active cases', '9495']['Jun 04, 2020', 'new cases', '4039']['Jun 04, 2020', 'new deaths', '642']['Jun 04, 2020', 'new recoveries', '4039']
['Jun 05, 2020', 'active cases', '11239']['Jun 05, 2020', 'new cases', '4586']['Jun 05, 2020', 'new deaths', '665']['Jun 05, 2020', 'new recoveries', '4586']
['Jun 06, 2020', 'active cases', '11940']['Jun 06, 2020', 'new cases', '4487']['Jun 06, 2020', 'new deaths', '644']['Jun 06, 2020', 'new recoveries', '4487']
['Jun 07, 2020', 'active cases', '12108']['Jun 07, 2020', 'new cases', '3710']['Jun 07, 2020', 'new deaths', '588']['Jun 07, 2020', 'new recoveries', '3710']
['Jun 08, 2020', 'active cases', '12176']['Jun 08, 2020', 'new cases', '3597']['Jun 08, 2020', 'new deaths', '654']['Jun 08, 2020', 'new recoveries', '3597']
['Jun 09, 2020', 'active cases', '11375']['Jun 09, 2020', 'new cases', '3096']['Jun 09, 2020', 'new deaths', '683']['Jun 09, 2020', 'new recoveries', '3096']
['Jun 10, 2020', 'active cases', '11862']['Jun 10, 2020', 'new cases', '4335']['Jun 10, 2020', 'new deaths', '733']['Jun 10, 2020', 'new recoveries', '4335']
['Jun 11, 2020', 'active cases', '13042']['Jun 11, 2020', 'new cases', '5041']['Jun 11, 2020', 'new deaths', '679']['Jun 11, 2020', 'new recoveries', '5041']
['Jun 12, 2020', 'active cases', '13155']['Jun 12, 2020', 'new cases', '4945']['Jun 12, 2020', 'new deaths', '698']['Jun 12, 2020', 'new recoveries', '4945']
['Jun 13, 2020', 'active cases', '14177']['Jun 13, 2020', 'new cases', '5391']['Jun 13, 2020', 'new deaths', '666']['Jun 13, 2020', 'new recoveries', '5391']
['Jun 14, 2020', 'active cases', '13854']['Jun 14, 2020', 'new cases', '3607']['Jun 14, 2020', 'new deaths', '722']['Jun 14, 2020', 'new recoveries', '3607']
['Jun 15, 2020', 'active cases', '14315']['Jun 15, 2020', 'new cases', '4281']['Jun 15, 2020', 'new deaths', '685']['Jun 15, 2020', 'new recoveries', '4281']
['Jun 16, 2020', 'active cases', '12249']['Jun 16, 2020', 'new cases', '3538']['Jun 16, 2020', 'new deaths', '708']['Jun 16, 2020', 'new recoveries', '3538']
['Jun 17, 2020', 'active cases', '13116']['Jun 17, 2020', 'new cases', '4748']['Jun 17, 2020', 'new deaths', '709']['Jun 17, 2020', 'new recoveries', '4748']
['Jun 18, 2020', 'active cases', '14266']['Jun 18, 2020', 'new cases', '5090']['Jun 18, 2020', 'new deaths', '763']['Jun 18, 2020', 'new recoveries', '5090']
