['Jan 17, 2021', 'active cases', '326901']
['Jan 18, 2021', 'active cases', '319713']
['Jan 19, 2021', 'active cases', '317040']
['Jan 20, 2021', 'active cases', '323475']
['Jan 21, 2021', 'active cases', '326760']
['Jan 22, 2021', 'active cases', '345365']
['Jan 23, 2021', 'active cases', '356096']
['Jan 24, 2021', 'active cases', '369623']
['Jan 25, 2021', 'active cases', '354374']
['Jan 26, 2021', 'active cases', '351283']
['Jan 27, 2021', 'active cases', '356175']
['Jan 28, 2021', 'active cases', '359888']
['Jan 29, 2021', 'active cases', '362404']
['Jan 30, 2021', 'active cases', '370331']
['Jan 31, 2021', 'active cases', '385020']
['Feb 01, 2021', 'active cases', '370563']
['Feb 02, 2021', 'active cases', '370079']
['Feb 03, 2021', 'active cases', '374897']
['Feb 04, 2021', 'active cases', '376940']
['Feb 05, 2021', 'active cases', '377628']
['Feb 06, 2021', 'active cases', '381329']
['Feb 07, 2021', 'active cases', '396324']
['Feb 08, 2021', 'active cases', '378220']
['Feb 09, 2021', 'active cases', '370793']
['Feb 10, 2021', 'active cases', '373175']
['Feb 11, 2021', 'active cases', '371083']
['Feb 12, 2021', 'active cases', '368059']
['Feb 13, 2021', 'active cases', '370682']
['Feb 14, 2021', 'active cases', '382230']
['Feb 15, 2021', 'active cases', '365611']
['Feb 16, 2021', 'active cases', '358736']
['Feb 17, 2021', 'active cases', '359907']
['Feb 18, 2021', 'active cases', '359572']
['Feb 19, 2021', 'active cases', '359313']
['Feb 20, 2021', 'active cases', '362256']
['Feb 21, 2021', 'active cases', '378866']
['Feb 22, 2021', 'active cases', '361326']
['Feb 23, 2021', 'active cases', '355416']
['Feb 24, 2021', 'active cases', '362990']
['Feb 25, 2021', 'active cases', '366053']
['Feb 26, 2021', 'active cases', '370389']
['Feb 27, 2021', 'active cases', '374407']
['Feb 28, 2021', 'active cases', '389080']
['Mar 01, 2021', 'active cases', '375785']
['Mar 02, 2021', 'active cases', '373411']
['Mar 03, 2021', 'active cases', '378784']
['Mar 04, 2021', 'active cases', '383080']
['Mar 05, 2021', 'active cases', '385216']
['Mar 06, 2021', 'active cases', '391560']
['Mar 07, 2021', 'active cases', '407935']
['Mar 08, 2021', 'active cases', '394550']
['Mar 09, 2021', 'active cases', '392940']
['Mar 10, 2021', 'active cases', '400262']
