['Apr 18, 2021', 'new recoveries', '27538']
['Apr 19, 2021', 'new recoveries', '6847']
['Apr 20, 2021', 'new recoveries', '39882']
['Apr 21, 2021', 'new recoveries', '32815']
['Apr 22, 2021', 'new recoveries', '32205']
['Apr 23, 2021', 'new recoveries', '30349']
['Apr 24, 2021', 'new recoveries', '30624']
['Apr 25, 2021', 'new recoveries', '22959']
['Apr 26, 2021', 'new recoveries', '5586']
['Apr 27, 2021', 'new recoveries', '28451']
['Apr 28, 2021', 'new recoveries', '29598']
['Apr 29, 2021', 'new recoveries', '24904']
['Apr 30, 2021', 'new recoveries', '22803']
['May 01, 2021', 'new recoveries', '24090']
['May 02, 2021', 'new recoveries', '9279']
['May 03, 2021', 'new recoveries', '3529']
['May 04, 2021', 'new recoveries', '22871']
['May 05, 2021', 'new recoveries', '24400']
['May 06, 2021', 'new recoveries', '20375']
['May 07, 2021', 'new recoveries', '17947']
['May 08, 2021', 'new recoveries', '19468']
['May 09, 2021', 'new recoveries', '8566']
['May 10, 2021', 'new recoveries', '3089']
['May 11, 2021', 'new recoveries', '18573']
['May 12, 2021', 'new recoveries', '20175']
['May 13, 2021', 'new recoveries', '18263']
['May 14, 2021', 'new recoveries', '6593']
['May 15, 2021', 'new recoveries', '14719']
['May 16, 2021', 'new recoveries', '13089']
['May 17, 2021', 'new recoveries', '3144']
['May 18, 2021', 'new recoveries', '16151']
['May 19, 2021', 'new recoveries', '17877']
['May 20, 2021', 'new recoveries', '15415']
['May 21, 2021', 'new recoveries', '12800']
['May 22, 2021', 'new recoveries', '12611']
['May 23, 2021', 'new recoveries', '9704']
['May 24, 2021', 'new recoveries', '2229']
['May 25, 2021', 'new recoveries', '3155']
['May 26, 2021', 'new recoveries', '12646']
['May 27, 2021', 'new recoveries', '13933']
['May 28, 2021', 'new recoveries', '11268']
['May 29, 2021', 'new recoveries', '10675']
['May 30, 2021', 'new recoveries', '8541']
['May 31, 2021', 'new recoveries', '1211']
['Jun 01, 2021', 'new recoveries', '9848']
['Jun 02, 2021', 'new recoveries', '8743']
['Jun 03, 2021', 'new recoveries', '8161']
['Jun 04, 2021', 'new recoveries', '6953']
['Jun 05, 2021', 'new recoveries', '6654']
['Jun 06, 2021', 'new recoveries', '5070']
['Jun 07, 2021', 'new recoveries', '1166']
['Jun 08, 2021', 'new recoveries', '6016']
['Jun 09, 2021', 'new recoveries', '5557']
['Jun 10, 2021', 'new recoveries', '4475']
['Jun 11, 2021', 'new recoveries', '3871']
['Jun 12, 2021', 'new recoveries', '3972']
['Jun 13, 2021', 'new recoveries', '2855']
['Jun 14, 2021', 'new recoveries', '689']
['Jun 15, 2021', 'new recoveries', '3235']
['Jun 16, 2021', 'new recoveries', '3058']
['Jun 17, 2021', 'new recoveries', '2044']
['Jun 18, 2021', 'new recoveries', '3181']
['Jun 19, 2021', 'new recoveries', '2624']
['Jun 20, 2021', 'new recoveries', '1815']
['Jun 21, 2021', 'new recoveries', '487']
['Jun 22, 2021', 'new recoveries', '2204']
['Jun 23, 2021', 'new recoveries', '2320']
['Jun 24, 2021', 'new recoveries', '2007']
['Jun 25, 2021', 'new recoveries', '1986']
['Jun 26, 2021', 'new recoveries', '2128']
['Jun 27, 2021', 'new recoveries', '1578']
['Jun 28, 2021', 'new recoveries', '509']
['Jun 29, 2021', 'new recoveries', '2314']
['Jun 30, 2021', 'new recoveries', '2457']
['Jul 01, 2021', 'new recoveries', '2664']
['Jul 02, 2021', 'new recoveries', '2683']
['Jul 03, 2021', 'new recoveries', '3006']
['Jul 04, 2021', 'new recoveries', '2549']
['Jul 05, 2021', 'new recoveries', '796']
['Jul 06, 2021', 'new recoveries', '3585']
['Jul 07, 2021', 'new recoveries', '4081']
['Jul 08, 2021', 'new recoveries', '4442']
['Jul 09, 2021', 'new recoveries', '4580']
['Jul 10, 2021', 'new recoveries', '4696']
['Jul 11, 2021', 'new recoveries', '4256']
['Jul 12, 2021', 'new recoveries', '1260']
['Jul 13, 2021', 'new recoveries', '6950']
['Jul 14, 2021', 'new recoveries', '8875']
['Jul 15, 2021', 'new recoveries', '3617']
['Jul 16, 2021', 'new recoveries', '10908']
['Jul 17, 2021', 'new recoveries', '10949']
['Jul 18, 2021', 'new recoveries', '12532']
['Jul 19, 2021', 'new recoveries', '4151']
['Jul 20, 2021', 'new recoveries', '18181']
['Jul 21, 2021', 'new recoveries', '21539']
['Jul 22, 2021', 'new recoveries', '21909']
['Jul 23, 2021', 'new recoveries', '19561']
['Jul 24, 2021', 'new recoveries', '25624']
['Jul 25, 2021', 'new recoveries', '15242']
['Jul 26, 2021', 'new recoveries', '5307']
['Jul 27, 2021', 'new recoveries', '26871']
['Jul 28, 2021', 'new recoveries', '27934']
['Jul 29, 2021', 'new recoveries', '25190']
['Jul 30, 2021', 'new recoveries', '24309']
['Jul 31, 2021', 'new recoveries', '23471']
['Aug 01, 2021', 'new recoveries', '19600']
['Aug 02, 2021', 'new recoveries', '5184']
['Aug 03, 2021', 'new recoveries', '26829']
['Aug 04, 2021', 'new recoveries', '28784']
['Aug 05, 2021', 'new recoveries', '26460']
['Aug 06, 2021', 'new recoveries', '25077']
['Aug 07, 2021', 'new recoveries', '25755']
['Aug 08, 2021', 'new recoveries', '20450']
['Aug 09, 2021', 'new recoveries', '5775']
['Aug 10, 2021', 'new recoveries', '28576']
['Aug 11, 2021', 'new recoveries', '30920']
['Aug 12, 2021', 'new recoveries', '28554']
['Aug 13, 2021', 'new recoveries', '26453']
['Aug 14, 2021', 'new recoveries', '24427']
['Aug 15, 2021', 'new recoveries', '21172']
['Aug 16, 2021', 'new recoveries', '5829']
['Aug 17, 2021', 'new recoveries', '28114']
['Aug 18, 2021', 'new recoveries', '28405']
['Aug 19, 2021', 'new recoveries', '23973']
['Aug 20, 2021', 'new recoveries', '22319']
['Aug 21, 2021', 'new recoveries', '22636']
['Aug 22, 2021', 'new recoveries', '17300']
['Aug 23, 2021', 'new recoveries', '5166']
['Aug 24, 2021', 'new recoveries', '24853']
['Aug 25, 2021', 'new recoveries', '23706']
['Aug 26, 2021', 'new recoveries', '19683']
['Aug 27, 2021', 'new recoveries', '18249']
['Aug 28, 2021', 'new recoveries', '17590']
['Aug 29, 2021', 'new recoveries', '13630']
['Aug 30, 2021', 'new recoveries', '3795']
['Aug 31, 2021', 'new recoveries', '19425']
['Sep 01, 2021', 'new recoveries', '17621']
['Sep 02, 2021', 'new recoveries', '15911']
['Sep 03, 2021', 'new recoveries', '13466']
['Sep 04, 2021', 'new recoveries', '13336']
['Sep 05, 2021', 'new recoveries', '10410']
['Sep 06, 2021', 'new recoveries', '3042']
['Sep 07, 2021', 'new recoveries', '14534']
['Sep 08, 2021', 'new recoveries', '12828']
['Sep 09, 2021', 'new recoveries', '10969']
['Sep 10, 2021', 'new recoveries', '9966']
['Sep 11, 2021', 'new recoveries', '9601']
['Sep 12, 2021', 'new recoveries', '7679']
['Sep 13, 2021', 'new recoveries', '2062']
['Sep 14, 2021', 'new recoveries', '10327']
['Sep 15, 2021', 'new recoveries', '9144']
['Sep 16, 2021', 'new recoveries', '8128']
['Sep 17, 2021', 'new recoveries', '7373']
['Sep 18, 2021', 'new recoveries', '7414']
['Sep 19, 2021', 'new recoveries', '5814']
['Sep 20, 2021', 'new recoveries', '1515']
['Sep 21, 2021', 'new recoveries', '7851']
['Sep 22, 2021', 'new recoveries', '6794']
['Sep 23, 2021', 'new recoveries', '6229']
['Sep 24, 2021', 'new recoveries', '5879']
['Sep 25, 2021', 'new recoveries', '6012']
['Sep 26, 2021', 'new recoveries', '4706']
['Sep 27, 2021', 'new recoveries', '1309']
['Sep 28, 2021', 'new recoveries', '6765']
['Sep 29, 2021', 'new recoveries', '5835']
