['Jun 08, 2021', 'new cases', '6016']
['Jun 09, 2021', 'new cases', '5557']
['Jun 10, 2021', 'new cases', '4475']
['Jun 11, 2021', 'new cases', '3871']
['Jun 12, 2021', 'new cases', '3972']
['Jun 13, 2021', 'new cases', '2855']
['Jun 14, 2021', 'new cases', '689']
['Jun 15, 2021', 'new cases', '3235']
['Jun 16, 2021', 'new cases', '3058']
['Jun 17, 2021', 'new cases', '2044']
['Jun 18, 2021', 'new cases', '3181']
['Jun 19, 2021', 'new cases', '2624']
['Jun 20, 2021', 'new cases', '1815']
['Jun 21, 2021', 'new cases', '487']
['Jun 22, 2021', 'new cases', '2204']
['Jun 23, 2021', 'new cases', '2320']
['Jun 24, 2021', 'new cases', '2007']
['Jun 25, 2021', 'new cases', '1986']
['Jun 26, 2021', 'new cases', '2128']
['Jun 27, 2021', 'new cases', '1578']
['Jun 28, 2021', 'new cases', '509']
['Jun 29, 2021', 'new cases', '2314']
['Jun 30, 2021', 'new cases', '2457']
['Jul 01, 2021', 'new cases', '2664']
['Jul 02, 2021', 'new cases', '2683']
['Jul 03, 2021', 'new cases', '3006']
['Jul 04, 2021', 'new cases', '2549']
['Jul 05, 2021', 'new cases', '796']
['Jul 06, 2021', 'new cases', '3585']
['Jul 07, 2021', 'new cases', '4081']
['Jul 08, 2021', 'new cases', '4442']
['Jul 09, 2021', 'new cases', '4580']
['Jul 10, 2021', 'new cases', '4696']
['Jul 11, 2021', 'new cases', '4256']
['Jul 12, 2021', 'new cases', '1260']
['Jul 13, 2021', 'new cases', '6950']
['Jul 14, 2021', 'new cases', '8875']
['Jul 15, 2021', 'new cases', '3617']
['Jul 16, 2021', 'new cases', '10908']
['Jul 17, 2021', 'new cases', '10949']
['Jul 18, 2021', 'new cases', '12532']
['Jul 19, 2021', 'new cases', '4151']
['Jul 20, 2021', 'new cases', '18181']
['Jul 21, 2021', 'new cases', '21539']
['Jul 22, 2021', 'new cases', '21909']
['Jul 23, 2021', 'new cases', '19561']
['Jul 24, 2021', 'new cases', '25624']
['Jul 25, 2021', 'new cases', '15242']
['Jul 26, 2021', 'new cases', '5307']
['Jul 27, 2021', 'new cases', '26871']
['Jul 28, 2021', 'new cases', '27934']
['Jul 29, 2021', 'new cases', '25190']
['Jul 30, 2021', 'new cases', '24309']
['Jul 31, 2021', 'new cases', '23471']
['Aug 01, 2021', 'new cases', '19600']
['Aug 02, 2021', 'new cases', '5184']
['Aug 03, 2021', 'new cases', '26829']
['Aug 04, 2021', 'new cases', '28784']
['Aug 05, 2021', 'new cases', '26460']
['Aug 06, 2021', 'new cases', '25077']
['Aug 07, 2021', 'new cases', '25755']
['Aug 08, 2021', 'new cases', '20450']
['Aug 09, 2021', 'new cases', '5775']
['Aug 10, 2021', 'new cases', '28576']
['Aug 11, 2021', 'new cases', '30920']
['Aug 12, 2021', 'new cases', '28554']
['Aug 13, 2021', 'new cases', '26453']
['Aug 14, 2021', 'new cases', '24427']
['Aug 15, 2021', 'new cases', '21172']
['Aug 16, 2021', 'new cases', '5829']
['Aug 17, 2021', 'new cases', '28114']
['Aug 18, 2021', 'new cases', '28405']
['Aug 19, 2021', 'new cases', '23973']
['Aug 20, 2021', 'new cases', '22319']
['Aug 21, 2021', 'new cases', '22636']
['Aug 22, 2021', 'new cases', '17300']
['Aug 23, 2021', 'new cases', '5166']
['Aug 24, 2021', 'new cases', '24853']
['Aug 25, 2021', 'new cases', '23706']
['Aug 26, 2021', 'new cases', '19683']
['Aug 27, 2021', 'new cases', '18249']
['Aug 28, 2021', 'new cases', '17590']
['Aug 29, 2021', 'new cases', '13630']
['Aug 30, 2021', 'new cases', '3795']
['Aug 31, 2021', 'new cases', '19425']
['Sep 01, 2021', 'new cases', '17621']
['Sep 02, 2021', 'new cases', '15911']
['Sep 03, 2021', 'new cases', '13466']
['Sep 04, 2021', 'new cases', '13336']
['Sep 05, 2021', 'new cases', '10410']
['Sep 06, 2021', 'new cases', '3042']
['Sep 07, 2021', 'new cases', '14534']
['Sep 08, 2021', 'new cases', '12828']
['Sep 09, 2021', 'new cases', '10969']
['Sep 10, 2021', 'new cases', '9966']
['Sep 11, 2021', 'new cases', '9601']
['Sep 12, 2021', 'new cases', '7679']
['Sep 13, 2021', 'new cases', '2062']
['Sep 14, 2021', 'new cases', '10327']
['Sep 15, 2021', 'new cases', '9144']
['Sep 16, 2021', 'new cases', '8128']
['Sep 17, 2021', 'new cases', '7373']
['Sep 18, 2021', 'new cases', '7414']
['Sep 19, 2021', 'new cases', '5814']
['Sep 20, 2021', 'new cases', '1515']
['Sep 21, 2021', 'new cases', '7851']
['Sep 22, 2021', 'new cases', '6794']
['Sep 23, 2021', 'new cases', '6229']
['Sep 24, 2021', 'new cases', '5879']
['Sep 25, 2021', 'new cases', '6012']
['Sep 26, 2021', 'new cases', '4706']
['Sep 27, 2021', 'new cases', '1309']
['Sep 28, 2021', 'new cases', '6765']
['Sep 29, 2021', 'new cases', '5835']
['Sep 30, 2021', 'new cases', '5204']
['Oct 01, 2021', 'new cases', '4935']
['Oct 02, 2021', 'new cases', '4948']
['Oct 03, 2021', 'new cases', '3744']
['Oct 04, 2021', 'new cases', '1138']
['Oct 05, 2021', 'new cases', '5558']
['Oct 06, 2021', 'new cases', '4946']
['Oct 07, 2021', 'new cases', '4615']
['Oct 08, 2021', 'new cases', '4470']
['Oct 09, 2021', 'new cases', '4734']
['Oct 10, 2021', 'new cases', '3991']
